wave,flux
3500.0205,15.678134
3500.8274,15.831541
3501.6328,16.111498
3502.4385,16.399792
3503.246,16.60385
3504.052,16.724655
3504.86,16.820074
3505.6665,16.91679
3506.4746,16.972826
3507.2812,16.932314
3508.0881,16.807726
3508.8972,16.68239
3509.7043,16.62319
3510.5137,16.609064
3511.3213,16.55861
3512.131,16.422232
3512.939,16.23171
3513.7473,16.049948
3514.5574,15.893582
3515.366,15.739963
3516.1765,15.601681
3516.9856,15.552615
3517.7964,15.66765
3518.6057,15.948481
3519.4153,16.30589
3520.2268,16.605183
3521.0364,16.738007
3521.8486,16.675127
3522.659,16.470776
3523.471,16.21862
3524.2815,15.989256
3525.0925,15.793674
3525.9053,15.60398
3526.7163,15.41042
3527.5298,15.250345
3528.3413,15.185782
3529.1548,15.266278
3529.9666,15.495455
3530.7788,15.808454
3531.5928,16.097685
3532.4053,16.281187
3533.2197,16.342165
3534.0327,16.31639
3534.8477,16.27169
3535.661,16.284086
3536.4744,16.38408
3537.2898,16.521608
3538.1035,16.616163
3538.9192,16.642458
3539.7334,16.6483
3540.5498,16.692911
3541.3643,16.775843
3542.1787,16.828106
3542.9958,16.786528
3543.8108,16.67699
3544.628,16.599007
3545.4434,16.624302
3546.261,16.730898
3547.077,16.8359
3547.8948,16.87281
3548.711,16.83174
3549.5273,16.745699
3550.3457,16.663258
3551.1626,16.62254
3551.9814,16.618124
3552.7986,16.596096
3553.618,16.502071
3554.4353,16.326605
3555.253,16.103033
3556.0728,15.888118
3556.8909,15.746339
3557.7112,15.714762
3558.5295,15.7645445
3559.3503,15.819066
3560.169,15.8259735
3560.988,15.801871
3561.8093,15.802808
3562.6287,15.864983
3563.4502,15.982576
3564.27,16.121153
3565.0918,16.216522
3565.912,16.172178
3566.7322,15.920425
3567.5547,15.516098
3568.3755,15.132737
3569.1982,14.923672
3570.0193,14.887297
3570.8428,14.889329
3571.6643,14.818469
3572.4858,14.699076
3573.3096,14.642162
3574.1318,14.715289
3574.9558,14.889089
3575.7783,15.087454
3576.6028,15.252044
3577.4255,15.363616
3578.2488,15.425404
3579.0737,15.433792
3579.897,15.369129
3580.7224,15.219072
3581.5464,14.998969
3582.3723,14.742285
3583.1963,14.493793
3584.0205,14.315332
3584.8472,14.250272
3585.6719,14.260436
3586.4985,14.240897
3587.3237,14.126656
3588.151,13.962557
3588.9763,13.851663
3589.802,13.857868
3590.63,13.977947
3591.4558,14.187728
3592.284,14.478469
3593.1104,14.828353
3593.939,15.157439
3594.7656,15.364341
3595.5928,15.431361
3596.4219,15.456462
3597.2493,15.55422
3598.0789,15.747201
3598.9065,15.966707
3599.7363,16.136244
3600.5645,16.23863
3601.3928,16.306868
3602.2234,16.356432
3603.052,16.339626
3603.8828,16.186779
3604.712,15.894442
3605.543,15.548118
3606.3728,15.249027
3607.2024,15.045948
3608.034,14.9390545
3608.864,14.897629
3609.6963,14.856398
3610.5266,14.750916
3611.3594,14.593891
