# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, na_oiii5007_outflow_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, na_oiii5007_outflow_voff, power_amp, na_oiii5007_outflow_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
 0, 11.3886450069, 35.6156545925, 4066.11730236, 233.907246606, 967.176959184, 100.0, 1.16017327794, 100.0, 13.1680283113, 197.056364306, -215.23602872, 18.7996460229, 14.4037103242, 99.0390393514, -1.0, 9.10856873584, 60.0041723213
100, 10.8524449612, 37.4370359327, 4065.49905033, 232.67095749, 968.164987629, 99.4123208048, 0.865093192939, 99.8225729469, 13.0870926491, 197.054812563, -216.945315535, 18.7657217896, 14.83548788, 100.03915456, -1.00011535236, 6.74052068661, 59.6068824637
200, 8.63321060673, 43.0003157043, 4063.70167893, 233.559645043, 971.71590477, 100.589415322, 0.881845886413, 97.8327213989, 12.6407306782, 194.222014335, -219.715194983, 13.1346953219, 14.0909741492, 99.7636199936, 0.259200437342, 5.86994154898, 59.1115074079
300, 7.72630220873, 45.9336238732, 4064.28906539, 233.762008045, 977.577276704, 103.520548917, 0.641308063435, 92.6050834834, 12.4613729605, 197.616513201, -223.753525407, 9.05238776936, 13.6082401758, 96.0798792197, 1.32060254939, 5.98083809286, 59.933530105
400, 8.64313181766, 46.931457029, 4067.66783778, 234.274307744, 984.118909207, 106.629552618, 0.46832016224, 88.9058105029, 12.3777581672, 203.865614141, -223.205580252, 8.18451852799, 13.6020870131, 94.349085957, 1.61893234501, 6.11859258696, 59.8475210528
500, 10.6240566759, 47.0616547476, 4068.47646012, 234.373687363, 974.903555803, 111.371972469, 0.370030276714, 86.7798597439, 12.2632907539, 215.913222768, -219.290746006, 7.94001318195, 13.66459761, 94.2313107237, 1.69072866738, 6.08277815151, 60.1716803085
600, 11.507960495, 47.1659653784, 4069.4227406, 229.884113864, 960.237682345, 116.979789467, 0.386070728468, 86.5166500676, 12.1951550253, 229.440855387, -208.423531228, 7.88917143227, 13.9723293819, 94.5511376801, 1.71620637467, 6.08810334513, 60.0094096276
700, 11.1924179896, 46.8566102556, 4056.40259419, 228.202643418, 954.422253781, 123.995334389, 0.352987062297, 86.7109178748, 12.1596497035, 249.843735197, -197.81454227, 7.80718165885, 14.1629946861, 95.9160031334, 1.76046164982, 6.05881061569, 59.4242100945
800, 10.8626140216, 46.5713959168, 4003.57510386, 228.900018539, 945.535791315, 127.223575701, 0.302622942845, 86.5221687509, 12.3176456508, 265.501371313, -190.111172976, 7.89593038652, 14.1867685311, 95.785788626, 1.72220272964, 6.05259996591, 59.4113618102
900, 11.1056234387, 46.2719262092, 3880.877769, 228.858507021, 931.191689276, 129.35374816, 0.36277447413, 84.8463795585, 12.6273423554, 271.880287981, -189.282843723, 8.13350884848, 14.2718039599, 96.0067310375, 1.75497794496, 6.02102539485, 59.4976986738
1000, 10.5357014223, 45.9490470999, 3739.1301932, 229.371793149, 919.241227437, 130.270317707, 0.39126478681, 85.0980525402, 13.015474662, 265.06029528, -189.128363018, 7.84740864636, 14.0869184018, 96.3088258646, 1.74095806132, 6.02118877256, 59.5545378036
1100, 10.0902291274, 45.4900163551, 3608.97761391, 231.645480747, 913.4654829, 133.025859258, 0.439322134331, 89.207281142, 13.4884871269, 252.234342604, -190.724060703, 7.67458722229, 13.8005613706, 96.3480894588, 1.71892704658, 6.00667324097, 59.5747665818
1200, 10.1900900767, 45.4434008796, 3575.27442445, 231.28137396, 913.016551565, 134.711139147, 0.436770336095, 91.7244207591, 13.6112523729, 253.962447986, -189.209196309, 7.47676854776, 13.8251239535, 96.8526118149, 1.76226032047, 5.97446560699, 59.6357426648
1300, 10.0935335056, 45.1958229433, 3537.44614758, 230.847030665, 905.674543128, 136.788430455, 0.392242219631, 94.6810550172, 13.7015895728, 246.413030405, -185.7732692, 7.38093032124, 14.0356229642, 97.1776939386, 1.79034976751, 5.9344101558, 59.6960369866
1400, 10.0985121304, 45.2032784314, 3505.80519618, 230.806217785, 914.969402403, 136.566557195, 0.369031538087, 94.5919637733, 13.7072115206, 238.80948808, -189.578507017, 7.04681859803, 13.9110194564, 97.3166258297, 1.83710242649, 5.9054296973, 59.9332339565
1500, 9.79105654789, 44.8805427192, 3485.30616341, 229.800686766, 914.028543079, 135.95069553, 0.360273017792, 95.2023814293, 13.7816788965, 237.306365706, -185.01551953, 6.95350977515, 13.9504678094, 97.1026662158, 1.82768661221, 5.87647429241, 60.0352691701
1600, 9.56743774789, 44.9933197797, 3477.49779664, 230.343723775, 916.706762872, 137.285495249, 0.329251070322, 96.124110026, 13.7870523048, 241.689840838, -182.187604258, 6.94979835834, 13.8771417547, 97.0469353475, 1.82468410323, 5.91318746216, 60.0150524557
1700, 9.16154975048, 45.0771971104, 3477.80208453, 231.87250772, 920.617058442, 139.258181068, 0.356487830351, 96.175896538, 13.845767245, 247.42270442, -189.906948749, 7.21969301582, 13.5352224737, 97.643148737, 1.83987958033, 5.94350925534, 60.3390592827
1800, 9.29135066437, 45.0776399512, 3477.33083824, 232.142881086, 925.169134063, 139.235011183, 0.307075757037, 96.8401385013, 13.8095008032, 240.691609479, -190.287153499, 7.29569521999, 13.4584052694, 97.399507975, 1.8118016365, 5.93357315432, 60.1576206468
1900, 9.36487912362, 45.0841707215, 3490.78655486, 232.261106654, 926.575629198, 139.786196929, 0.302965316636, 96.2596978763, 13.8148304281, 245.089307127, -188.977615492, 7.17594723486, 13.5018343697, 97.6729858875, 1.82198474288, 5.93176084824, 60.1691144739
2000, 9.36690295424, 45.093433668, 3502.62151376, 233.048809729, 919.237352654, 138.878070396, 0.328651253663, 97.4376737747, 13.8273423844, 246.022892454, -189.99707527, 6.96093011736, 13.5735107618, 97.5111468242, 1.81298690916, 5.96160423522, 60.163401024
2100, 9.58081747024, 45.0478555311, 3494.42834585, 231.594592463, 925.607316625, 138.813252044, 0.293843227786, 99.3620682528, 13.7797709862, 251.554115053, -187.406125407, 6.9284470707, 13.6634811969, 97.893554035, 1.84560559557, 5.95111043071, 60.0625260427
2200, 9.83809124207, 44.771016412, 3482.71613453, 231.787207282, 915.03312426, 138.485550353, 0.360347982671, 98.9235350356, 13.8676548519, 245.180603318, -185.86544019, 6.98105340975, 13.7440842859, 97.3384582617, 1.84940167632, 5.92656664984, 60.1465687989
2300, 9.77329102504, 44.9315697195, 3479.00750332, 231.117725829, 922.644416404, 137.61941601, 0.336110357, 98.7505114924, 13.9442780415, 242.315816087, -184.223280486, 7.01912933844, 13.7013929699, 96.8944726324, 1.83639266112, 5.94023772271, 60.2078941458
