# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, na_oiii5007_outflow_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, na_oiii5007_outflow_voff, power_amp, na_oiii5007_outflow_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
 0, 11.260907244856973, 35.98043596658466, 4140.991640922851, 255.52609189716836, 983.3808791577076, 100.0, 1.1392256072851237, 100.0, 13.066436184083464, 181.95398321627752, -217.60764022996824, 18.79964602294489, 14.186586353914807, 99.56860752998188, -1.0, 9.06870521164799, 59.93805578292138
100, 11.262004794680763, 35.97956113542848, 4141.007898527738, 255.52706721039738, 983.3812154842813, 99.99194648462083, 1.1391476690715006, 100.00305563155652, 13.066684178525431, 181.95357791688676, -217.60771182087564, 18.80293273098322, 14.18652432893535, 99.56921987434676, -0.9950408401714391, 8.977606059102278, 59.92365330856983
200, 12.217446442867693, 37.3293239727602, 4142.901209493983, 258.7217391602146, 983.9068839563664, 97.98441233611675, 0.8424631760717295, 98.63066367710985, 12.805885467794116, 181.1886952190173, -217.6043328769105, 18.793792730182204, 13.261479463644816, 99.85305130890833, -0.5177467343311002, 6.347327107606001, 59.43813868934384
300, 9.808164743821726, 43.97828654087963, 4138.310947076671, 270.5458728365038, 983.0594974588229, 108.63604549424238, 0.47197000804854927, 91.11914472385445, 11.933138924195486, 187.6427201730957, -218.7467875329316, 12.485899255504357, 12.346340090230612, 97.15273456855772, 0.5680724643299679, 6.177381934779737, 59.37602201100527
400, 7.765498207487742, 46.04455714444026, 4136.394234899667, 268.55573805899274, 981.3590353288308, 127.74885501713908, 0.48621652548398053, 92.8469118143392, 11.821833113046319, 209.933353677376, -213.04370374458495, 9.296812551621953, 12.859025147323305, 98.7797861211544, 1.5269247354791848, 6.30317803060602, 58.7565294545344
500, 8.139741426488659, 46.45503827594021, 4130.341234613008, 263.11786571233927, 977.6737192033411, 137.79454989288917, 0.4085054159106398, 95.76720814837991, 11.840396857620757, 226.09819279743326, -209.49244337777344, 8.816392268766615, 13.293875418818821, 99.07281616102344, 1.6843278997647129, 6.332099453094387, 58.72437459642589
600, 9.092010528170903, 46.43500394468473, 4104.851524214559, 260.6450530345058, 970.4043355328296, 141.1026627990171, 0.35305933131191214, 97.49148006870632, 11.98387921626432, 243.14308306404624, -209.10384077634606, 8.58518120415242, 13.49601219740466, 99.17264762946184, 1.772465967656697, 6.272067755828965, 59.00530421090135
700, 10.763636084694191, 46.263290525614785, 4000.147708839359, 258.5641326548391, 957.9389836466411, 139.1928206047826, 0.37140595538520393, 96.12006644981481, 12.303783239743419, 259.7471546836511, -210.00976766636057, 8.55975625083433, 13.707733229329632, 98.60216957248674, 1.8171197177632223, 6.255552460783628, 59.352423864742164
800, 10.932898597434097, 45.84537438438498, 3829.226538722263, 256.66851868998657, 951.6334077525182, 136.99078550957898, 0.5421376925655428, 95.00812952872793, 12.792539992095788, 278.17236170721964, -211.8351052327969, 8.201619652323954, 13.651602665983761, 97.38097790996957, 1.8440506307271436, 6.132559676101157, 59.953711266766675
900, 11.09160306346597, 45.15650794947125, 3681.1450192988987, 254.84272630632606, 948.0074754472388, 137.6389501361544, 0.458605068647698, 98.73659345137708, 13.21346571315889, 267.5870524405129, -206.7406689374732, 7.938559619071096, 13.696083134651177, 97.15058546956224, 1.8272696997539053, 6.059344147222268, 60.152652885942445
