# iter, br_Ha_amp, br_Hb_fwhm, br_feii_amp, na_oiii5007_outflow_fwhm, br_Ha_fwhm, br_Hb_voff, na_oiii5007_outflow_voff, na_oiii5007_core_fwhm, na_feii_amp, na_Ha_core_voff, na_oiii5007_core_amp, na_Hb_core_amp, stel_disp, stel_vel, na_sii6718_core_amp, na_sii6732_core_amp, na_oiii5007_core_voff, br_Ha_voff, br_Hb_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, na_oiii5007_outflow_amp, na_Ha_core_amp, power_slope, na_Hb_core_voff
 0, 68.99477283719969, 4428.210728643301, 24.613808540019956, 2685.663810561344, 3046.7513985831474, 27.97180536286885, -718.8872396300525, 412.26894321737905, 14.46307486171327, -30.451112853571818, 40.26616417786613, 12.541901461307946, 100.0, 100.0, 3.345817816226371, 1.484751666671971, 1.7427906767557757, 210.05210597705636, 43.9128425471674, 1000.0, 31.211338643284986, 19.261362945529243, 7.875338478773944, 56.13830730918043, -1.0, 116.28275247352144
100, 69.14908153759934, 4428.335689448377, 24.390599169480552, 2685.6735464713406, 3046.746323675578, 27.858088029071155, -718.8877007294084, 412.2682960043851, 14.337397306459255, -30.451145720358873, 40.26614238343283, 12.675035722188941, 99.91877205939139, 100.00809636259925, 3.345828838687497, 1.4850008714911596, 1.7410583935992199, 210.052279518509, 43.9124893552239, 999.9815318112932, 31.192611848276094, 19.268493883804027, 7.893769945325527, 56.138781149278394, -0.8370611572391626, 116.28295262621364
200, 75.01687254600705, 4423.821872650615, 18.06761150637125, 2691.2207547026464, 3045.762112078527, 24.971712177081443, -717.245013784028, 417.38392803562624, 9.85385553639732, -32.25038830501671, 35.023030474464285, 19.298574453062265, 96.28419896918872, 102.27543325237829, 1.7813904378865844, 3.12332453232977, -3.168265113571845, 207.81574661030334, 41.022101031949674, 999.7691658602911, 30.781912408132346, 22.32476294630074, 7.8004406985447154, 51.45234620729319, -0.4567349579353927, 126.65710692406856
300, 78.80061281749727, 4423.655965175197, 16.68571381374557, 2690.1321136042257, 3045.023962633527, 23.33940804815998, -717.6868773145236, 416.1161913633511, 7.5696009891482445, -28.5596996322729, 33.70305385394701, 22.560757725549898, 91.63248320431074, 102.4746822046477, 2.085379447034467, 3.7405778265360867, -4.614892806549935, 206.67026146052598, 39.54784543069807, 999.2321631007909, 32.35725664690319, 21.331871989288757, 6.211620027453753, 50.987054707722336, -0.4264188600051293, 126.42987705826064
400, 82.49858669137097, 4423.450856584669, 16.585813201055338, 2684.3087370605663, 3040.7636729756023, 20.58123447013532, -719.5056270100762, 411.42497446356333, 4.3565481924217, -19.30024499525313, 31.993807246055063, 24.683677766096796, 83.73929030872783, 101.6423286049026, 2.9113268857831502, 3.4201212688662017, -8.432628827125855, 204.14671377038593, 38.04481875981755, 998.5631617168001, 32.75573577676064, 15.511063044583295, 5.802729799834712, 50.116858073683446, -0.4745298651850819, 123.43241560208355
500, 88.89305817247173, 4430.199026220092, 17.108751925093838, 2672.2079912716003, 3039.144545626177, 17.855226230543693, -738.0800580541965, 399.363183525354, 2.039004029061309, -7.682865606586809, 32.425914915305064, 23.59737851087036, 85.43801715055949, 100.6026012287835, 3.6162132979330814, 2.952411678401445, -9.928438497452763, 196.55027273764316, 37.85958895215347, 996.2640758140147, 33.185204336307855, 9.602511781672037, 5.342924272437021, 47.77439503179363, -0.5500993874973447, 107.47192465139344
600, 91.28134875636792, 4433.829656538184, 17.336940019327894, 2664.5425412127806, 3039.7512130002365, 15.948339513183122, -754.6585244203368, 396.875608172645, 1.2129707785967678, -2.5273257162757243, 33.39227156758817, 22.981471922692386, 89.54625011403778, 99.06908617054191, 3.794384509573316, 2.6290131904721643, -11.484555855689482, 186.6592458181514, 38.08705855154969, 994.6105770738542, 33.25443354791774, 7.232062589395813, 5.193640534245168, 47.150410751377834, -0.5744583655853276, 101.85640866507426
700, 91.6329708057422, 4433.6255330709555, 17.451939240804023, 2655.101037186222, 3045.70800563919, 13.166457975650479, -771.5409916203483, 408.79291019467036, 0.8949806604806989, 0.32187800232962926, 33.59627006389439, 23.572263825591236, 99.8128532716671, 91.93890931176617, 3.8759115978494836, 2.607920494606253, -13.68798752420512, 175.15258966978615, 37.964002462651166, 993.6585657549432, 32.40456041004863, 6.996318280401132, 4.834035146478419, 47.95950432554006, -0.5903622755265343, 104.83384613669988
800, 92.19330749838817, 4430.541078717467, 17.353020692090986, 2641.537887033074, 3059.800127767487, 10.332616610200084, -780.591574997869, 435.47438247225904, 0.9604191483868691, 1.9809908813086388, 33.89142280431914, 24.01125148903802, 107.348811418969, 78.00427127486624, 4.002596434972537, 2.799159479792746, -11.723281193630596, 156.68629196367547, 37.82405839119522, 991.9725980077642, 32.217789480298364, 6.927193066246563, 4.130798687198144, 48.39381388993984, -0.6097130888317748, 112.48964899262043
900, 91.90195325579091, 4425.930245314721, 17.394426110698426, 2634.890621020302, 3071.9597581594467, 12.34918569397064, -781.4079972387256, 461.615891878306, 0.9343014765266351, -1.9424479563084187, 33.8791096836623, 23.942065313682384, 112.2841186571125, 67.55153691090857, 4.215193863810942, 2.6823818144322313, -10.28445840574464, 149.42020419957026, 37.95203005942679, 988.5493958440546, 32.04085426855515, 7.567260465647994, 3.7695750088166964, 48.71479942918893, -0.628159889778023, 121.17895634469119
1000, 90.05104513328459, 4421.22845222221, 17.40195620606205, 2648.7198062087073, 3091.745419140476, 23.01485509669542, -769.9633712795187, 491.4636161946961, 0.9848752134931593, -3.610073352604445, 32.81583412105965, 23.78768554607978, 119.66317489569987, 63.34295914415512, 4.244087055377362, 2.602471967140682, -7.90546611916966, 144.8165866142649, 38.048704367823724, 981.7639643889396, 31.27496195863977, 9.698526474584616, 3.660624744582433, 49.20022401897062, -0.6325167231259904, 133.73095109845875
1100, 87.91326414439942, 4412.401982092992, 17.13625294107211, 2677.830216609197, 3126.7061338131693, 48.60905628883263, -747.2416685695011, 520.3149177561999, 1.1552958584694206, -1.3948552441551847, 32.16446999282112, 23.3058131109879, 125.59910772116754, 70.3144333287423, 4.028056730360124, 2.407112700772155, -5.089931763772084, 137.00435068894984, 38.2878821570243, 977.082128851621, 31.059075481604584, 11.55293486714184, 3.5212523945748977, 50.63409581127955, -0.6325057033768523, 152.03888634391757
1200, 86.24560952255409, 4403.750333491993, 16.905642936274326, 2710.190552827518, 3160.0042055390004, 73.8474279727048, -725.1764275466151, 542.9305776819754, 1.0918063904199422, 4.047011146794161, 31.699839919102082, 22.954839133635254, 130.87851044880756, 82.54559750240615, 3.998198004463994, 2.224208753463601, -4.125919685081826, 132.61933848761902, 38.42219744940318, 973.9807093147746, 30.788602600518164, 12.130969935708537, 3.362924612012005, 52.3564112240225, -0.6125599568277661, 168.55781671508112
1300, 84.38457229122794, 4388.372188324955, 16.628317908492512, 2745.275198786704, 3198.7054691729177, 94.82381520307021, -708.1935002034801, 565.7850985161308, 1.0525729788566307, 7.42279394336099, 30.72778577288201, 22.6211051849821, 133.51407287283456, 96.9445284652563, 4.2575554816981995, 1.936789324191221, -4.8068551488545594, 130.89574417562386, 38.28388327612656, 971.8315443757257, 30.831970384290397, 13.051350825755787, 3.2599131171312634, 53.827419146133174, -0.593982169186005, 181.2901128738846
1400, 81.91677769029236, 4370.359521045128, 16.49731996686721, 2776.5580166793434, 3246.2803640662933, 104.68590446681002, -703.5604855059913, 593.0780299823036, 0.9572476536969685, 9.253153215981548, 30.06533127119753, 22.29591986915068, 140.56797308365515, 110.91701901385944, 4.407874530580289, 1.9208063856192912, -4.161474652966698, 126.84066429301579, 38.158971531860615, 968.9012958311421, 30.552196192296872, 14.900649067435618, 3.031330356843807, 56.46803815374876, -0.596556779339016, 187.6041777067695
1500, 79.40257836815047, 4353.525320689385, 16.474237015863842, 2836.0020656171246, 3293.3597643223075, 105.96678480404302, -717.9601056247612, 606.0297358366674, 1.0173442728418451, 7.63176123900746, 30.12667362894423, 22.5843460932503, 148.28022603135153, 121.49784051548937, 4.591139425260182, 2.3090485252260082, -5.5543665658187145, 124.03033751381264, 38.055790274531034, 950.6683696698512, 30.30065201663181, 17.22887933324781, 2.844395504133389, 59.193784347191, -0.6153939452208715, 182.71223054485054
1600, 78.19436062898474, 4337.508059404035, 16.45317418369604, 2863.691774261947, 3331.7986412197233, 101.50972152291268, -727.3861797062979, 618.3305202045422, 0.9633089250936295, 6.502883159601552, 30.45724984044972, 22.751921800859808, 150.33462866175995, 121.17752062127559, 4.708161658165524, 2.4793357496420008, -8.046233092594719, 121.26130301476, 38.142753791409184, 944.6247799931098, 30.506929784107513, 18.316922534737948, 2.6629030359297694, 60.6985566685082, -0.619815380542347, 175.95637793253366
1700, 77.57727476201727, 4327.560000900703, 16.45011413803226, 2876.966158518121, 3352.2757082463336, 101.53551028078654, -719.2127901355192, 621.5207006539745, 0.830536263329172, 3.0956582531735553, 30.561148312087973, 22.818755540692745, 150.77864531732865, 117.73015492122627, 4.799726987890192, 2.4339250581491068, -8.698004152239108, 117.38518251009235, 38.221054603233874, 948.7163519557955, 30.522769610143907, 18.501829168178585, 2.5139429925154424, 61.189756597912734, -0.6378943507589049, 170.6462909107121
1800, 76.63061750435058, 4302.8343837105385, 16.445836316968393, 2872.991743988663, 3391.7784277444157, 96.82217854928163, -694.1817646131501, 625.85482877166, 0.8636021031542448, -4.373945461530596, 30.898920792133126, 22.307327445056128, 144.37093158319675, 110.01859759525269, 4.697857008079877, 2.334557750149615, -9.125274509731945, 110.09385390021275, 38.399092034046866, 953.8545280676756, 30.718061544148117, 19.845090144235723, 2.2919710487468645, 61.651141953254836, -0.654166680504034, 153.34988302643274
