# iter, br_Ha_amp, br_Ha_voff, na_Ha_outflow_voff, na_Ha_core_voff, stel_vel, na_feii_amp, stel_disp, na_Ha_outflow_fwhm, na_Ha_outflow_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, br_Ha_fwhm, na_Ha_core_amp, na_sii6732_core_amp, power_slope, br_feii_amp, na_sii6718_core_amp
 0, 12.9302008653, 297.091972826, -192.695542834, 93.8609369229, 100.0, 0.001, 100.0, 1165.99003195, 45.1689696341, 167.976974548, 17.0854818945, 75.6221572572, 4945.60812545, 131.986508322, 11.8048129314, -1.0, 2.9039504934, 12.3115995879
100, 12.9343582798, 297.092200007, -192.695625093, 93.8466109737, 100.00107077, 0.00730548339914, 99.9997861945, 1165.98948777, 45.1690871879, 167.974160713, 17.0776857122, 75.6221563879, 4945.60760634, 131.989624962, 11.8061429594, -0.949581943344, 2.92036404983, 12.3107882859
200, 13.2744721491, 297.097267666, -192.677979251, 93.1001746798, 100.274149742, 0.176229274356, 99.4970429937, 1165.5768384, 45.3081838842, 167.268046879, 16.382364528, 75.6177567239, 4944.95451803, 132.813169797, 12.0122172446, -0.388792361758, 3.60666048646, 11.976972514
300, 13.3656562389, 297.235830249, -192.903764481, 93.1524701826, 100.091762873, 0.488176338877, 99.1377939041, 1165.82723123, 45.0352732068, 167.540793844, 15.9802392532, 75.7632593853, 4944.20297069, 133.698776311, 12.0434199748, -0.379130682523, 3.65815481377, 12.1749770996
400, 13.39494279, 298.632208261, -195.420310238, 93.0186185063, 99.3281244771, 0.89816723508, 101.018234812, 1166.25120912, 44.8282826906, 168.23181941, 15.9861315516, 76.3575379906, 4944.94713068, 134.601222265, 12.0188432513, -0.317982469108, 3.57671225512, 12.2763736676
500, 13.3358092276, 301.521266827, -196.614163205, 93.3167842231, 98.8413033664, 1.48642297097, 106.817109527, 1173.21471508, 44.6381651579, 168.666477595, 15.5098525827, 76.4892718316, 4944.89425939, 135.266093872, 12.0532032771, -0.341565352628, 3.69596680644, 12.2834872718
600, 13.2849190138, 303.308484945, -197.030321566, 93.4945589391, 99.8084953412, 2.06423744497, 117.522098035, 1179.45683458, 44.5523110245, 169.316537919, 14.8802568076, 76.6134136949, 4940.88329425, 135.808538154, 12.1658831891, -0.351364231079, 3.677924183, 12.3525721372
700, 13.2022778682, 295.337343623, -195.51209757, 93.5610853768, 111.443686814, 2.33128469136, 119.418366865, 1191.13038105, 44.1874020266, 169.512089116, 14.3948453141, 76.6626354602, 4934.05114704, 136.090565793, 12.1409706072, -0.332323762053, 3.68025463212, 12.4646052632
800, 13.1826827859, 283.121810351, -195.030088777, 93.7864973409, 129.098685996, 2.24043738049, 119.10144567, 1199.47301241, 43.9517097597, 169.901227137, 14.1606590502, 76.6860727372, 4951.73657436, 136.005441885, 12.0361075554, -0.28321464606, 3.57302974541, 12.4162759852
900, 13.2265022315, 273.819198752, -193.391378679, 93.9038032671, 142.590096144, 2.18013483687, 125.9232809, 1197.5607467, 44.053658199, 170.476701119, 13.6373935612, 76.515271345, 4948.55335834, 135.97434392, 11.9958857721, -0.207989540723, 3.50460608682, 12.4569144232
1000, 13.0232087314, 278.810839964, -192.375527293, 93.9898103844, 144.69128469, 2.47201860519, 125.708384634, 1201.91781547, 44.1597419353, 169.46674782, 13.0620331545, 76.5546469699, 4981.98287293, 136.100590507, 11.9506379702, -0.195000760221, 3.44584833417, 12.4236841568
1100, 13.1065303292, 279.092589811, -191.379475599, 94.1392908216, 145.931175783, 2.33212999541, 140.478486353, 1200.72203532, 44.3699385829, 169.062893795, 12.1201102588, 76.3861373449, 4988.118438, 136.217131522, 11.9541440934, -0.139532263135, 3.53849882473, 12.3418839494
1200, 13.1236008458, 267.486682746, -188.995110624, 94.1054983023, 151.918572206, 2.30562848951, 149.387813049, 1198.0477539, 44.4082565485, 168.683783303, 11.8466122467, 76.6145565858, 4997.10158163, 136.478544813, 11.9832698928, -0.109476740628, 3.45649000844, 12.3601263308
1300, 13.1713664552, 264.717172473, -189.053591279, 94.09690536, 156.549727413, 2.28156295616, 155.388426477, 1192.23009413, 44.4506515198, 168.390309884, 12.6302204943, 76.514390413, 4998.8992015, 136.148935723, 11.9908259494, -0.201784690531, 3.53695997863, 12.2926446736
