# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, na_oiii5007_outflow_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, na_oiii5007_outflow_voff, power_amp, na_oiii5007_outflow_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
 0, 13.4370991426, 34.8277025956, 3890.88251812, 239.621865905, 1009.37011788, 100.0, 0.949029156103, 100.0, 13.3101538365, 142.745619239, -217.532397908, 18.7996460229, 14.9535281673, 96.0387688085, -1.0, 8.51288620932, 59.4639037059
100, 13.7752727145, 35.2177688862, 3890.8357177, 239.673313261, 1009.57927759, 99.293436801, 0.949133145719, 100.664208637, 13.2572723756, 142.43179105, -217.653509193, 18.4659051761, 14.895634739, 95.9062703069, -0.997542433921, 7.35390892199, 59.4218307843
200, 14.9635858073, 40.2642922941, 3887.88409285, 239.724632356, 1014.63921941, 92.3692890036, 0.718132310585, 106.666621826, 13.0463470952, 142.052289522, -222.61662083, 14.3570366947, 13.7037794474, 96.8095209527, -0.0707922815471, 5.9815091011, 58.1912068516
300, 11.5745502089, 44.2125016364, 3887.93814811, 237.903898911, 1014.87812171, 97.451329185, 0.70381076607, 101.652159993, 12.8299359686, 144.665363035, -223.894869617, 9.48127712069, 13.4066407162, 97.6457842078, 1.13132854093, 6.06601986897, 58.5134995542
400, 10.3447262773, 45.5888396932, 3896.81700079, 234.272847276, 1013.84602304, 114.521874937, 0.605738223146, 90.1381840564, 12.700794218, 154.039929105, -215.342959183, 8.44940580725, 13.2837326533, 97.0075625223, 1.41302787935, 6.12092473925, 59.1413484934
500, 8.76943608299, 46.6819844459, 3909.59703854, 232.79089781, 1017.98319992, 127.041462217, 0.40361330922, 89.8394412889, 12.5676836502, 166.764717379, -207.79596246, 7.99372810946, 13.1983098698, 98.1583381185, 1.62834500786, 6.11733135056, 59.9307571666
600, 7.7754041322, 46.8276508868, 3913.84350363, 232.099758023, 1013.98646478, 133.330791289, 0.320740771612, 90.8033786111, 12.51662414, 172.971580497, -200.255687028, 7.54748670072, 13.3025028857, 98.8640451244, 1.74789219013, 6.12031015007, 59.9379710378
700, 8.21688008079, 46.9349079521, 3908.99736186, 232.421563275, 1004.91503504, 136.012027622, 0.310438767628, 92.165210625, 12.4870839963, 188.121676883, -192.864382895, 7.36371920177, 13.3732714461, 98.597159475, 1.75604599421, 6.11791718833, 59.775265579
800, 9.31124792056, 46.6127249629, 3890.4708459, 231.936022594, 981.35720986, 136.495678479, 0.283647169402, 91.8779379006, 12.4734223558, 206.968109924, -192.058360735, 7.39594764527, 13.708725025, 98.0532553752, 1.7517214678, 6.05648189242, 59.7505806834
900, 10.0099775928, 46.0168991953, 3845.2182971, 231.902510891, 963.572657578, 134.685805802, 0.290568837142, 93.7801406073, 12.6136948717, 225.340627567, -190.024853321, 7.47322597879, 13.8078897208, 97.182930303, 1.72484199165, 6.00551803956, 59.6154026592
1000, 10.4431744602, 45.7720124238, 3764.81776748, 232.101841085, 945.924213697, 136.975614024, 0.337635660152, 96.3316697847, 12.9245775602, 237.101411003, -188.356523259, 7.38295258129, 13.8406308804, 97.3419887588, 1.69574559157, 5.95107671248, 59.6359148294
1100, 10.2510559894, 45.5740868294, 3660.23604674, 231.593484537, 937.510531108, 134.648691973, 0.32873469873, 99.38524989, 13.1978969335, 239.077106699, -187.025256336, 7.29887792594, 13.7410514105, 96.9846614361, 1.7098395933, 5.95843952459, 59.8345702065
1200, 10.2150048471, 45.579334076, 3601.27513216, 231.130116874, 931.701747392, 136.908154225, 0.31974580579, 98.5433520925, 13.435036207, 238.415698161, -184.732024026, 7.1672487226, 13.7424369001, 96.9696976168, 1.73969615309, 5.93873470872, 59.9680956891
1300, 9.81244202339, 45.4883111807, 3559.65534552, 230.398236237, 927.605096388, 136.615430758, 0.310378244639, 98.3309474368, 13.518602729, 249.280559507, -188.612115623, 7.16650048416, 13.7707372513, 96.7429994426, 1.80060428554, 5.97235600556, 60.0250553074
1400, 9.63774730478, 45.2614757826, 3510.90810389, 231.566477592, 928.612165709, 136.72539515, 0.279145119201, 98.2823885241, 13.7343288095, 245.570907169, -190.58408821, 7.15891914696, 13.5810683231, 96.4415747724, 1.79077546077, 5.96307287182, 60.1872224967
1500, 9.66611041443, 45.0011825294, 3490.42950014, 229.782055023, 919.961606992, 137.879231988, 0.319720919967, 100.270438576, 13.8104702099, 242.802614956, -188.769626055, 7.05561979883, 13.773883904, 97.1033162769, 1.80276217348, 5.93487884148, 60.1228041942
1600, 10.2129080077, 44.908962243, 3474.76082532, 229.62651677, 915.986579361, 138.405288384, 0.342028291832, 100.21758613, 13.8347181653, 242.17193563, -187.918127029, 7.05725529891, 13.9103960992, 97.9500186878, 1.81827175519, 5.9473920738, 59.9971321212
1700, 10.004705593, 45.0399288352, 3475.56849246, 230.798469337, 924.775246287, 136.739585392, 0.302160686684, 98.1954369579, 13.7985040485, 245.147011852, -187.549888173, 7.02983651564, 13.6990176512, 97.1545650182, 1.82479111443, 5.99615191603, 60.2054256657
1800, 9.86038973584, 45.0296717814, 3488.09121636, 231.636836455, 922.306793456, 135.936033872, 0.287968128438, 97.6888400981, 13.765628325, 245.147011852, -187.757124738, 7.03357278642, 13.7002372039, 97.4674461175, 1.8248619837, 5.97359549643, 60.1319733134
1900, 9.94251790687, 45.0350987603, 3485.66271143, 230.425923214, 914.418079535, 137.842840327, 0.297089239342, 97.6619956195, 13.7427182594, 248.636974853, -184.976116593, 6.8944852637, 13.8284071066, 97.9295250585, 1.81290426016, 5.96823448964, 60.0258046059
2000, 9.88348348991, 45.1037674576, 3490.38867563, 231.104718721, 922.703189542, 139.345759505, 0.321548066255, 98.1469905842, 13.7833606071, 253.180129877, -185.354040092, 6.84521992423, 13.685429561, 97.4151392245, 1.83239375897, 5.93957810987, 60.1239435523
2100, 9.17588866901, 44.9303791045, 3486.11315759, 231.506250416, 926.183968027, 138.333482902, 0.304806970699, 98.0553934388, 13.8760272448, 248.799167487, -186.889862297, 6.94270370869, 13.68613839, 96.4652793812, 1.82081862764, 5.93173707305, 60.1667745639
2200, 8.91813339318, 44.940536233, 3490.89006215, 231.411772627, 927.212703153, 138.943649191, 0.357506891966, 95.6212160442, 13.8352122366, 248.413587132, -188.176277134, 7.08013466715, 13.599847805, 96.6331271203, 1.79084007518, 5.92532804686, 60.0344064088
2300, 9.56958540651, 44.9798160094, 3480.1396436, 231.482736694, 928.513873576, 138.36511161, 0.319915639745, 95.9705276824, 13.8348300368, 249.537632038, -190.265510973, 7.17150136246, 13.5600378953, 97.2342303621, 1.81056221101, 5.99708825423, 59.984619974
