# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, na_oiii5007_outflow_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, na_oiii5007_outflow_voff, power_amp, na_oiii5007_outflow_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
 0, 9.6399733809, 36.102614194, 3896.89569741, 232.189582931, 987.489688604, 100.0, 1.41643940746, 100.0, 13.2866777749, 160.430473244, -202.962441111, 18.7996460229, 13.6565388758, 96.5410819547, -1.0, 8.36421907728, 61.9232924408
100, 9.14448412172, 36.1581792233, 3896.80136363, 231.885255527, 987.489655717, 100.657118366, 1.2031828417, 100.092503903, 13.2773687569, 160.817191441, -203.991411535, 19.0661160956, 13.6084606387, 96.5390728609, -0.670673547931, 7.2856980567, 61.7512031447
200, 7.4551030917, 41.6739806987, 3898.79576477, 231.845813693, 978.647706378, 100.732087684, 0.926864105112, 100.51012466, 13.1651949056, 164.89796042, -207.813746372, 11.7321035013, 13.8690891671, 97.7227939387, 0.527031497572, 5.99777797825, 60.0922915874
300, 8.44171531607, 44.4035845324, 3891.28799113, 234.601187141, 975.234309987, 107.295852215, 0.672254140817, 96.4170281454, 12.9379706275, 182.123183664, -210.403629969, 8.09633941776, 13.9751200561, 96.1689254642, 1.49774199578, 6.04645494023, 58.9900253619
400, 8.45907821624, 45.1488282702, 3875.19684243, 235.682895977, 980.70074649, 116.892107286, 0.594823996445, 92.7458262707, 12.8783337781, 208.555397594, -203.856931421, 7.52091553291, 13.7762958801, 94.5124502711, 1.72661900454, 5.91536651658, 59.1233401228
500, 8.11238279687, 45.7719259228, 3858.99511027, 232.925634802, 982.417616495, 122.45682156, 0.513123456151, 91.3663315659, 12.8561629781, 231.724529238, -195.033495036, 7.5865750665, 13.7741025965, 94.9403833836, 1.75511145231, 5.8319289212, 59.5228154415
600, 8.92711077226, 46.0079533894, 3844.03655573, 230.448278717, 971.665657592, 127.705803205, 0.429355673646, 91.2614487631, 12.8057537076, 253.522104004, -193.108403691, 7.74100363024, 13.7948039689, 95.0274219459, 1.76407850245, 5.91047494804, 59.7091724677
700, 9.25912084453, 46.2557990694, 3828.85956879, 229.942918313, 970.151693584, 130.541602272, 0.341100053448, 91.7865918234, 12.7741803739, 277.733904138, -190.385610164, 7.7902520399, 13.7774203818, 95.2637143126, 1.79843923769, 5.93416789912, 59.7462733813
800, 9.68378088417, 46.2465316517, 3815.49364866, 229.054816291, 965.957456094, 132.943453463, 0.348874977195, 91.6396343428, 12.7287268175, 287.17606394, -191.630906288, 7.80028041017, 13.8797946731, 95.6238966868, 1.81400792651, 5.9535276832, 59.8117086783
900, 9.84982047371, 46.1885088589, 3776.67526351, 228.745896207, 964.852396945, 132.378237999, 0.334312027986, 88.5029922856, 12.8806598677, 284.28787281, -191.250868334, 7.75614490227, 13.9130912428, 96.2518122496, 1.81677547834, 5.96473065896, 59.8663609618
1000, 9.88610777112, 45.6831650355, 3697.21217458, 229.172382381, 942.35630151, 135.33630559, 0.335030657207, 88.7431358318, 13.1224316359, 266.034486171, -188.570360334, 7.4878094736, 14.0075718245, 96.9897243277, 1.77822139658, 5.93211719452, 59.866754986
1100, 10.2643757683, 45.4595377216, 3616.21415083, 229.138928637, 929.725265078, 138.479433448, 0.399451428495, 89.9966824451, 13.4679360717, 257.71317605, -187.891777644, 7.44114892944, 13.9507078485, 97.1345833289, 1.75955755589, 5.91376023989, 59.9884575139
1200, 9.93374452727, 45.287293882, 3559.03085184, 229.89175647, 923.012754155, 137.85234465, 0.3486490185, 91.5475982177, 13.6211270275, 252.648060514, -189.749828694, 7.3835678772, 13.9269546665, 96.9405854313, 1.76559806429, 5.94841947398, 60.0538466395
1300, 9.85896774758, 45.2047845375, 3541.6602046, 230.369107249, 925.377738728, 137.389193729, 0.339949844654, 93.545536863, 13.6094216962, 253.421690987, -192.724136365, 7.40194616497, 13.7948458573, 96.4012894488, 1.78184402222, 5.92449165739, 60.2580743437
1400, 9.93302439458, 45.2013646506, 3535.7588025, 230.082573079, 922.254156974, 137.819144402, 0.323963310456, 96.5837076531, 13.7011431615, 248.075807936, -191.068556292, 7.44412332053, 13.6809953512, 96.4605154432, 1.76883513279, 5.94898527552, 60.1477076774
1500, 9.59727718312, 45.0270099007, 3501.33484756, 230.566566495, 921.704265327, 140.793609453, 0.333646365955, 98.6361917221, 13.7908133902, 245.047012405, -189.378417225, 7.4154256907, 13.7970698316, 96.8326905106, 1.79445276621, 5.93179766633, 60.1865659581
1600, 9.3984701765, 45.067181194, 3492.31653574, 231.96969921, 929.71126985, 138.421369586, 0.33316079361, 97.859017989, 13.8391306484, 241.571864958, -189.056252159, 7.45857523266, 13.614924406, 96.9771278784, 1.76924795861, 5.95075483017, 60.2692778046
1700, 9.35737120549, 44.978378932, 3496.59641634, 229.891662909, 932.546519234, 136.732664726, 0.302206192057, 97.3391802607, 13.7911507159, 239.759235512, -188.771442698, 7.48017081766, 13.662034006, 96.5764066014, 1.79095695037, 5.9577927413, 60.1714841274
1800, 9.49446293854, 44.9921543001, 3478.77895151, 230.172564882, 931.017912475, 138.40171031, 0.356036577377, 98.1670937144, 13.739946789, 248.354862139, -188.312177181, 7.46899059056, 13.6785923715, 96.8533306135, 1.79561365655, 5.94529681573, 60.1313198376
1900, 9.00180097604, 45.1534957377, 3496.01066136, 230.319360736, 930.606694517, 137.886738539, 0.359571237659, 97.247559815, 13.6048186328, 253.521510574, -187.259492475, 7.43382072865, 13.7788545897, 97.5101011341, 1.78330902792, 5.90171711448, 60.1762170584
2000, 9.14731642843, 45.1718796899, 3502.38112173, 229.607508544, 928.686130733, 136.607152509, 0.357073556619, 97.1924046911, 13.6142117218, 253.380746065, -186.896093573, 7.20202629321, 13.7621637493, 97.2521874731, 1.80205330236, 5.91496089547, 60.057486434
2100, 8.70794091669, 45.0774519589, 3483.50152556, 231.216845117, 926.044176042, 137.466069951, 0.337413802848, 96.1471515647, 13.6614673078, 247.277529003, -189.871468641, 7.21986127646, 13.6518742766, 97.2226337032, 1.7986330651, 5.92033098213, 60.1961377596
2200, 9.56579264768, 44.9339865533, 3484.23051535, 230.379051227, 924.605961056, 137.484028515, 0.34165846555, 97.1570268363, 13.7628320579, 238.289049043, -192.037258613, 7.30932103485, 13.7207024394, 97.6893264397, 1.80462642052, 5.94908157509, 60.2950042733
2300, 10.2126785492, 45.081181489, 3486.96824177, 230.106797617, 922.132657203, 137.010887155, 0.300531624626, 97.3827477446, 13.7083286202, 238.242836785, -188.816630291, 7.33122619942, 13.758232675, 97.6254112765, 1.81688771879, 5.9598696828, 60.0263750898
2400, 10.0327797144, 45.2375754628, 3491.54571623, 229.906798294, 922.059484293, 137.505001517, 0.27577137604, 98.0959676146, 13.762782847, 240.709209991, -191.525757463, 7.18915915647, 13.8829862184, 97.4292195627, 1.79799991956, 5.97965339856, 59.9635164408
