# iter, br_Ha_amp, br_Hb_fwhm, br_feii_amp, na_oiii5007_outflow_fwhm, br_Ha_fwhm, br_Hb_voff, na_oiii5007_outflow_voff, na_oiii5007_core_fwhm, na_feii_amp, na_Ha_core_voff, na_oiii5007_core_amp, na_Hb_core_amp, stel_disp, stel_vel, na_sii6718_core_amp, na_sii6732_core_amp, na_oiii5007_core_voff, br_Ha_voff, br_Hb_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, na_oiii5007_outflow_amp, na_Ha_core_amp, power_slope, na_Hb_core_voff
 0, 23.5853041681, 3874.00424278, 7.03153033242, 941.704599874, 3311.60740404, 214.732569007, -209.968353682, 223.835813048, 1.58894514297, 96.5488465612, 55.6572237659, 33.9263949889, 100.0, 100.0, 15.4056342275, 13.9857906063, 12.8395071619, 142.657486659, 12.612955486, 171.777395883, 17.9570434977, 74.984478867, 16.2795766933, 133.956502762, -1.0, 98.4000170123
100, 23.7211735404, 3874.48158114, 6.48866458278, 941.7133555, 3311.60733836, 214.371055365, -209.968356147, 223.835371611, 1.23816738294, 96.1880050743, 55.5339697422, 34.0443158509, 99.9964539645, 99.6422891814, 15.3900982624, 14.0527876944, 12.8806471035, 142.685051877, 13.5145510172, 171.77759353, 18.4456182726, 74.5490819982, 16.276863269, 134.155394242, -0.262582898276, 98.1534174509
200, 26.1285594606, 3876.99660822, 5.63740048666, 943.175298103, 3310.81738978, 212.76273065, -208.320247441, 222.591707663, 1.14420030939, 95.3178790983, 55.5355862719, 36.3547472525, 100.04306627, 99.0071621485, 15.2289307414, 13.6292647589, 11.908488797, 142.741560692, 13.7000888547, 172.849284343, 17.9907773344, 73.8376704902, 15.6176484295, 134.689101602, 0.0321881737085, 97.4113542313
300, 26.5393641463, 3878.41360733, 5.47559712414, 944.738767394, 3308.59015515, 210.770379218, -206.347019114, 221.600746137, 0.890490052059, 95.4903641628, 56.4786315946, 38.8787267948, 100.126040355, 100.196144961, 14.8952369592, 13.1491753558, 8.83963307279, 141.959586112, 13.5964481765, 174.21365677, 15.4605219109, 73.1760863158, 15.6260251319, 136.026794546, 0.290844908173, 98.1393479188
400, 26.8421101231, 3877.38064221, 5.48256833266, 944.391276759, 3304.81256572, 209.758658963, -205.715089491, 222.846938532, 0.689187396356, 95.9644285492, 57.6369655289, 40.4130104881, 102.543804711, 105.688999139, 14.3099392129, 13.2932790248, 6.93694441568, 141.486256871, 13.7418565613, 174.890207113, 12.6114810376, 73.7537050504, 15.5706032308, 136.852938808, 0.663849583043, 96.4918537892
500, 27.2089828931, 3875.10388622, 5.61544771198, 943.072777677, 3302.39192885, 209.596424367, -207.753523026, 226.727056189, 0.487712438816, 96.3217138209, 58.0372023687, 40.4903392722, 104.721525912, 111.280895471, 14.32522979, 13.4764191653, 7.19363196538, 142.439365953, 13.7484928608, 174.880649444, 11.0834070357, 74.0767656506, 15.4234637753, 137.295251607, 0.865824974086, 94.5671394337
600, 27.3419016064, 3873.60579701, 5.71594995186, 941.459057278, 3301.85950079, 210.496304843, -209.913629123, 229.646577852, 0.433333231102, 96.2660422497, 57.9858924691, 40.5535577124, 106.883187824, 113.499345504, 14.3695931518, 13.583080933, 8.08150282626, 143.380293358, 13.7165664692, 173.523423809, 10.4865172977, 74.2777297094, 15.2770100974, 138.243015937, 0.972452376571, 94.7560706285
700, 27.2641863101, 3870.25093127, 5.77412122176, 940.475483243, 3302.35748855, 212.181540009, -212.188973609, 230.543188294, 0.467529460394, 96.115566488, 57.9795259791, 40.7514446906, 108.417719598, 114.142539476, 14.2854205026, 13.5915699906, 8.25101580973, 142.797080446, 13.7111896782, 171.846053175, 10.2914548252, 74.4950512732, 15.223423118, 138.843041826, 0.998975905473, 94.7061273469
800, 27.2476053746, 3866.94442764, 5.73985285346, 939.461273208, 3303.59010279, 214.957035289, -211.766893652, 229.758114733, 0.44804008254, 96.070032954, 58.0538374394, 40.9086063978, 110.087508623, 116.402100234, 14.3237258333, 13.5395697844, 9.27303657797, 141.81747257, 13.6773619133, 171.360210231, 10.2044246507, 74.7947425674, 15.2288946765, 139.307509687, 1.02588960689, 94.281901099
900, 27.3756199772, 3861.71002569, 5.74281008972, 933.801131873, 3304.40747555, 222.920065028, -210.997896856, 228.876598993, 0.428611131091, 95.8496416147, 58.1603413617, 40.9077597714, 111.406436024, 120.269954277, 14.4446056761, 13.5396490604, 10.1604325481, 138.991358372, 13.7040875974, 171.077138365, 9.95054324561, 74.6856536282, 15.2332003873, 139.71654155, 1.07383891245, 93.5513767852
