# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, na_oiii5007_outflow_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, na_oiii5007_outflow_voff, power_amp, na_oiii5007_outflow_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
 0, 11.6037568317, 34.61694558, 3724.29258563, 225.241277711, 926.142315114, 100.0, 1.47086758526, 100.0, 13.9481648497, 211.795008825, -195.6587071, 18.7996460229, 14.1769181187, 98.5975319333, -1.0, 8.33557439937, 59.8119571521
100, 11.0812866421, 34.810464055, 3724.18817907, 224.404104629, 926.140943649, 99.3040613566, 0.687758786724, 99.9850590633, 13.834457523, 212.474786765, -195.588481204, 18.8286577344, 14.2155091059, 98.5859918398, -0.716166110368, 7.47039836133, 60.2528730722
200, 11.2912317982, 41.0648245388, 3724.404087, 222.341920465, 927.940117605, 95.0052460051, 0.93280756688, 97.8468558738, 13.0885288773, 215.314881303, -195.706128029, 12.9141208836, 15.1570359857, 100.901980597, 0.0401840803093, 6.03166171607, 59.8745665886
300, 11.9076920001, 43.8745264606, 3718.80615021, 228.237148655, 932.962959503, 98.8421928669, 0.859896413744, 97.3366443046, 13.3717376914, 210.568786283, -199.48555208, 9.10942889014, 14.6836015416, 101.639032381, 1.19428276025, 5.97253776953, 59.2408642723
400, 10.9539953881, 44.9197418007, 3708.56823119, 233.023424731, 943.316202802, 111.871304002, 0.698561075543, 94.4924194717, 13.6482286693, 206.504605386, -206.335351653, 8.46590989327, 13.9279119335, 100.012948362, 1.51690892166, 5.96554693745, 59.9991857579
500, 10.4407690075, 45.3738308082, 3701.16924616, 234.945720951, 948.697888676, 121.566881548, 0.485317947257, 92.2472539824, 13.6375706461, 207.44336096, -211.374957337, 8.29905274944, 13.6178337874, 99.4377930704, 1.61597085805, 6.0148241417, 60.0665755626
600, 10.2922530687, 45.78984864, 3699.36027535, 235.533287594, 945.345763206, 127.778702102, 0.374781081286, 93.584950623, 13.4138473703, 219.522034079, -212.631871934, 8.10600435325, 13.5087103003, 98.9415846864, 1.70263770659, 6.03643142576, 60.1029160208
700, 10.1333091879, 45.768536813, 3690.44198842, 233.802179973, 947.035393215, 132.182083804, 0.352492164272, 96.1013844296, 13.3244421231, 227.056981902, -209.021354662, 7.82570678689, 13.4274742752, 98.5827521866, 1.72786843589, 6.05924232034, 60.4576436128
800, 10.5943618795, 45.6652631986, 3685.41615408, 232.141134129, 950.883144304, 134.287928966, 0.311792153415, 98.5397068768, 13.2788267391, 240.539176893, -202.984802567, 7.8577909444, 13.4721868903, 98.5101452509, 1.73884717861, 6.0394941075, 60.2006404458
900, 10.1859132366, 45.504069682, 3654.51471433, 232.782729221, 953.649346577, 136.248050526, 0.325062772319, 100.320736839, 13.3378430581, 245.710704555, -200.506471226, 7.56397205083, 13.4452378395, 98.2924034544, 1.7393731595, 5.98644913005, 60.238855273
