# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, na_oiii5007_outflow_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, na_oiii5007_outflow_voff, power_amp, na_oiii5007_outflow_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
 0, 14.2642203839, 36.1736778376, 3836.43818204, 231.424655485, 923.860324554, 100.0, 1.55045018805, 100.0, 13.4829631011, 142.521040925, -219.564511323, 18.7996460229, 14.7755864869, 101.439678215, -1.0, 8.22990937083, 60.5832423614
100, 14.2674399831, 37.242583389, 3836.24872594, 231.501128486, 923.859894977, 99.9970974448, 1.55051183545, 99.9997569659, 13.4831200836, 142.197532337, -219.28936049, 18.6235503607, 14.7741220875, 101.003391338, -0.996473916839, 7.53189899243, 60.5691412371
200, 11.6850562637, 42.3464869113, 3832.89796086, 231.229684023, 926.770049036, 100.0974272, 0.684368792923, 99.2769764156, 13.1690867321, 139.440418562, -220.515834688, 12.6143333248, 14.6372237273, 98.4202096486, 0.314300398897, 6.17390491428, 59.9104607492
300, 10.7522282703, 45.1470138306, 3832.66462822, 232.724674492, 928.244446718, 100.87341564, 0.517714471181, 101.454747768, 13.1703264672, 138.503528242, -222.378830021, 9.30536809894, 14.1707472867, 96.6480618287, 1.43233013118, 6.23723884939, 59.9087193384
400, 10.6892667528, 45.5868936238, 3834.33836375, 233.829981174, 927.58490728, 105.485559346, 0.430139049521, 100.952763484, 13.223621066, 140.363729017, -221.899550177, 8.56459933915, 14.0430485324, 96.5562054772, 1.68645461827, 6.26733026764, 59.9778367243
500, 10.1732848958, 45.7083279094, 3816.09682356, 235.803096838, 931.082517078, 118.481192406, 0.454614203918, 100.03651382, 13.1597992942, 155.880642246, -222.816497805, 8.07380068647, 13.7050568717, 97.8847368789, 1.71894803276, 6.20494457175, 60.1677958765
600, 9.29267725266, 46.1312835072, 3772.04636851, 237.17091903, 954.903608344, 133.857593538, 0.387900813602, 98.5174641425, 13.1437934808, 213.741183539, -223.151185796, 7.82175349265, 13.149736338, 97.2440505328, 1.7172632813, 6.14694902857, 60.4395750972
700, 8.82685399391, 45.9245881207, 3721.87330606, 237.421926545, 960.454771733, 136.74897973, 0.319256477061, 99.4584372998, 13.0996589083, 246.350957237, -217.923966667, 7.65606587285, 12.9595630636, 96.9907781059, 1.71823500544, 6.09142592578, 60.384595867
800, 8.68006445175, 45.6320136574, 3666.01481247, 234.292637958, 953.744880196, 137.855752923, 0.319732989547, 97.0029704893, 13.3259771329, 247.369800605, -207.300459512, 7.61465097877, 13.4469386204, 97.087914984, 1.73506196104, 5.99714423537, 60.2507742745
900, 8.7351576874, 45.5048960482, 3583.00964882, 233.060488839, 933.218276142, 138.666456469, 0.344778784395, 96.1809797472, 13.6176907059, 252.062722365, -196.476216296, 7.36706339417, 13.5176606481, 96.7522378729, 1.78099867154, 6.03438114254, 60.1873923354
1000, 9.38838935923, 45.2937324743, 3554.82822889, 232.31590638, 931.120862474, 139.915189104, 0.34604452971, 96.951720566, 13.8194881233, 249.362991896, -194.991587617, 7.32505107643, 13.5523314846, 97.5099900788, 1.81406653442, 6.04096006682, 60.1070996386
1100, 9.72716222667, 45.2299812794, 3543.11178346, 231.405572114, 928.920389462, 140.726185151, 0.307848013509, 99.0173354679, 13.7973060266, 250.559576322, -193.481483033, 7.21932090756, 13.6349341954, 97.5038905275, 1.80952362235, 5.9703864044, 60.1249140206
1200, 9.98804513991, 45.0052028591, 3510.96697046, 231.708547233, 925.616996411, 139.627280483, 0.270911481633, 100.081739632, 13.8473643316, 249.370786247, -190.458073969, 7.25550362823, 13.603949089, 97.1060858971, 1.79365495089, 5.9952555159, 60.0959851112
1300, 9.52640148126, 45.0253178355, 3496.98837809, 229.446139579, 920.285584038, 137.80807395, 0.341065537521, 97.8377620232, 13.9155632895, 245.529396601, -185.980565252, 7.20579766653, 13.7140050571, 97.0515081988, 1.79130178852, 5.98552536167, 59.9984586983
1400, 9.74198763616, 44.9781096122, 3488.20678245, 229.568787268, 919.004402014, 138.855025099, 0.361946682917, 97.0050657384, 13.9204540663, 244.61507254, -186.355407465, 7.4092166742, 13.6221972312, 97.1928369207, 1.76406547426, 5.92557796394, 60.0930546878
1500, 9.89138056672, 45.0009193479, 3484.10969464, 229.371390379, 922.047479027, 139.480184415, 0.374849218523, 97.5717938748, 13.8877447035, 242.892601906, -183.206058941, 7.26688641981, 13.7353277204, 96.8235977385, 1.7757883511, 5.93052493598, 60.1562508236
1600, 9.70324648669, 45.0241595747, 3493.25164352, 230.649291955, 921.81040774, 140.389556442, 0.385350678253, 98.0213151918, 13.8759273266, 246.034956849, -184.880305828, 7.34950065123, 13.6506177815, 97.2585064365, 1.76211676805, 5.9071836302, 60.2867701699
1700, 9.73910747658, 44.9796510583, 3479.43123121, 231.190407678, 925.471442028, 140.515754468, 0.364729271147, 97.129175001, 13.902082821, 247.508673242, -187.762678517, 7.22721114751, 13.5103682726, 97.0777918394, 1.77234261974, 5.95230314182, 60.2405624292
1800, 9.58771890942, 44.8919291827, 3474.14253294, 231.737251103, 922.922983704, 139.310111345, 0.352136223936, 97.9385300559, 13.8522814431, 239.877141941, -185.21368783, 7.16901491637, 13.5328409757, 96.9375714211, 1.76855447981, 5.94878833714, 60.1294619916
1900, 9.61300018674, 44.9303312205, 3486.49450453, 231.949228642, 918.073520509, 137.483235877, 0.33648592939, 97.6283232627, 13.8775155792, 238.151012502, -185.542950037, 7.204713038, 13.5239784594, 96.3378859319, 1.83931985771, 5.95835351414, 60.1912127945
2000, 9.66958979366, 45.0295002453, 3473.49076005, 231.878022083, 923.012847213, 138.334028994, 0.329823252255, 97.8315681828, 13.9130291265, 237.482418267, -186.203816744, 7.04153975405, 13.5567011333, 96.5865574089, 1.82467128578, 5.92005814224, 60.2187212481
2100, 9.9055954103, 45.0657430308, 3465.37914014, 231.249503754, 926.736794264, 138.230806656, 0.327662604727, 95.2048460313, 13.9287172108, 238.906103064, -183.935265964, 7.02882604152, 13.5203515629, 96.4420633984, 1.78772827428, 5.96885794534, 60.1847331678
2200, 10.1980788209, 44.9997912014, 3469.22055413, 230.589284791, 918.518980427, 137.992914878, 0.311955447199, 95.1338162745, 13.9879182775, 241.657456004, -185.872770057, 7.20010033743, 13.6433354717, 96.7980273113, 1.77948669471, 6.0125832109, 60.1048084301
2300, 10.3503334593, 44.9322124492, 3473.05698867, 229.991276114, 916.097370278, 137.305070959, 0.338599509221, 96.5002363729, 13.9741972821, 251.047741047, -185.537725323, 7.22018553608, 13.6974298721, 96.9567165224, 1.77270907019, 5.96947812294, 59.9188970345
2400, 10.1217665522, 44.822248669, 3473.78531979, 229.448758844, 914.89294277, 135.915322736, 0.322762841363, 96.3127366044, 13.9050940738, 247.100247091, -186.443665185, 7.20987212006, 13.9242064014, 97.2053289971, 1.81834811155, 6.01859061898, 59.9138477422
